for_profit,founded,control,founded1,non_profit,founded2
1,1787,Public,1701,0,1701
1,1789,Public,1740,0,1740
1,1789,Public,1742,0,1742
1,1791,Public,1746,0,1746
1,1793,Public,1749,0,1749
1,1794,Public,1754,0,1754
1,1794,Public,1764,0,1764
1,1794,Public,1766,0,1766
1,1797,Public,1769,0,1769
1,1798,Public,1770,0,1770
1,1801,Public,1772,0,1772
1,1801,Public,1773,0,1773
1,1803,Public,1773,0,1773
1,1805,Public,1775,0,1775
1,1806,Public,1780,0,1780
1,1807,Public,1781,0,1781
1,1808,Public,1782,0,1782
1,1810,Public,1784,0,1784
1,1814,Public,1784,0,1784
1,1814,Public,1784,0,1784
1,1815,Public,1785,0,1785
1,1816,Public,1787,0,1787
1,1816,Public,1787,0,1787
1,1817,Public,1795,0,1791
1,1817,Public,1798,0,1794
1,1818,Public,1802,0,1795
1,1818,Public,1803,0,1800
1,1819,Public,1804,0,1802
1,1819,Public,1807,0,1804
1,1821,Public,1809,0,1807
1,1821,Public,1814,0,1809
1,1822,Public,1815,0,1812
1,1823,Public,1818,0,1812
1,1823,Public,1819,0,1814
1,1824,Public,1819,0,1815
1,1824,Public,1820,0,1818
1,1824,Public,1821,0,1819
1,1824,Public,1826,0,1819
1,1825,Public,1828,0,1819
1,1825,Public,1828,0,1819
1,1826,Public,1830,0,1820
1,1826,Public,1831,0,1821
1,1826,Public,1831,0,1824
1,1826,Public,1832,0,1826
1,1826,Public,1832,0,1828
1,1826,Public,1832,0,1829
1,1826,Public,1832,0,1830
1,1827,Public,1833,0,1830
1,1827,Public,1833,0,1831
1,1827,Public,1833,0,1831
1,1828,Public,1833,0,1832
1,1828,Public,1833,0,1832
1,1828,Public,1833,0,1832
1,1829,Public,1834,0,1832
1,1829,Public,1834,0,1833
1,1830,Public,1834,0,1833
1,1830,Public,1834,0,1833
1,1830,Public,1834,0,1833
1,1830,Public,1834,0,1833
1,1830,Public,1834,0,1833
1,1831,Public,1835,0,1834
1,1831,Public,1835,0,1834
1,1831,Public,1835,0,1834
1,1831,Public,1837,0,1834
1,1831,Public,1837,0,1834
1,1836,Public,1837,0,1834
1,1836,Public,1837,0,1834
1,1837,Public,1837,0,1835
1,1837,Public,1838,0,1835
1,1837,Public,1838,0,1835
1,1837,Public,1840,0,1837
1,1838,Public,1842,0,1837
1,1839,Public,1842,0,1837
1,1839,Public,1842,0,1837
1,1839,Public,1843,0,1837
1,1839,Public,1844,0,1837
1,1840,Public,1844,0,1838
1,1840,Public,1844,0,1838
1,1840,Public,1844,0,1839
1,1841,Public,1844,0,1839
1,1841,Public,1845,0,1840
1,1841,Public,1845,0,1842
1,1841,Public,1845,0,1842
1,1842,Public,1845,0,1842
1,1842,Public,1846,0,1842
1,1842,Public,1846,0,1843
1,1842,Public,1846,0,1844
1,1842,Public,1846,0,1844
1,1842,Public,1846,0,1844
1,1842,Public,1847,0,1844
1,1842,Public,1847,0,1844
1,1843,Public,1847,0,1845
1,1843,Public,1848,0,1845
1,1844,Public,1849,0,1845
1,1844,Public,1850,0,1845
1,1844,Public,1851,0,1846
1,1845,Public,1852,0,1846
1,1845,Public,1853,0,1846
1,1846,Public,1853,0,1846
1,1846,Public,1853,0,1847
1,1846,Public,1853,0,1847
1,1846,Public,1853,0,1847
1,1846,Public,1854,0,1848
1,1846,Public,1855,0,1850
1,1846,Public,1856,0,1850
1,1846,Public,1856,0,1850
1,1846,Public,1857,0,1851
1,1846,Public,1857,0,1851
1,1847,Public,1857,0,1851
1,1847,Public,1857,0,1851
1,1847,Public,1858,0,1852
1,1847,Public,1858,0,1852
1,1847,Public,1859,0,1853
1,1847,Public,1859,0,1853
1,1847,Public,1859,0,1853
1,1847,Public,1859,0,1853
1,1848,Public,1859,0,1853
1,1848,Public,1859,0,1854
1,1848,Public,1859,0,1854
1,1848,Public,1859,0,1854
1,1848,Public,1859,0,1855
1,1848,Public,1860,0,1855
1,1848,Public,1860,0,1856
1,1848,Public,1860,0,1856
1,1849,Public,1860,0,1856
1,1849,Public,1860,0,1857
1,1849,Public,1860,0,1857
1,1849,Public,1861,0,1857
1,1850,Public,1862,0,1857
1,1850,Public,1865,0,1857
1,1850,Public,1865,0,1857
1,1850,Public,1865,0,1858
1,1850,Public,1866,0,1858
1,1850,Public,1866,0,1858
1,1850,Public,1866,0,1859
1,1850,Public,1866,0,1859
1,1851,Public,1866,0,1859
1,1851,Public,1866,0,1859
1,1851,Public,1867,0,1859
1,1851,Public,1867,0,1859
1,1851,Public,1867,0,1859
1,1851,Public,1868,0,1859
1,1851,Public,1868,0,1859
1,1851,Public,1868,0,1860
1,1851,Public,1869,0,1860
1,1851,Public,1869,0,1860
