name,state,location,control,for_profit,religious_affiliation,degree_type,distance,historically_black,enrollment,founded_in,closed_merged_in,accreditation
Southern_Union_State_Community_College,Alabama,Wadley,Public,0,Non-sectarian,Associates College,,,"4,655",1701,,SACS
Northwest–Shoals Community College,Alabama,Muscle Shoals,Public,0,Non-sectarian,Associates College,,,"3,512",1740,,SACS
Central Alabama Community College,Alabama,Alexander City,Public,0,Non-sectarian,Associates College,,,"1,799",1742,,SACS
Gadsden State Community College[c],Alabama,Gadsden,Public,0,Secular,Associates College,,,"4,599",1746,,SACS
Community College of the Air Force,Alabama,Montgomery,Public,0,Non-sectarian,Associates College,,,,1749,,SACS
Shelton State Community College[c],Alabama,Tuscaloosa,Public,0,Seventh-day Adventist ,Associates College,,,"4,201",1754,,SACS
Chattahoochee Valley Community College,Alabama,Phenix City,Public,0,Secular,Associates College,,,"1,592",1764,,SACS
Lurleen B. Wallace Community College,Alabama,Andalusia,Public,0,Christian,Associates College,,,"1,767",1766,,SACS
H. Councill Trenholm State Community College,Alabama,Montgomery,Public,0,Non-sectarian,Associates College,,,"2,042",1769,,SACS
Reid State Technical College,Alabama,Evergreen,Public,0,Non-sectarian,Associates College,,,549,1770,,COE
Wallace State Community College,Alabama,Hanceville,Public,0,Secular,Associates College,,,"4,985",1772,,SACS
Calhoun Community College,Alabama,Tanner,Public,0,Non-sectarian,Associates College,,,"9,315",1773,,SACS
Coastal Alabama Community College,Alabama,Bay Minette,Public,0,Non-sectarian,Associates College,,,"7,535",1773,,SACS
Enterprise State Community College,Alabama,Enterprise,Public,0,Methodist,Associates College,,,"1,804",1775,,SACS
J. F. Ingram State Technical College,Alabama,Deatsville,Public,0,Non-sectarian,Associates College,,,485,1780,,COE
Jefferson State Community College,Alabama,Birmingham,Public,0,Non-sectarian,Associates College,,,"8,711",1781,,SACS
Bevill State Community College,Alabama,Sumiton,Public,0,Secular,Associates College,,,"3,787",1782,,SACS
Northeast Alabama Community College,Alabama,Rainsville,Public,0,Non-sectarian,Associates College,,,"2,981",1784,,SACS
Wallace Community College Selma,Alabama,Selma,Public,0,Secular,Associates College,,,"1,529",1784,,SACS
J.F. Drake State Community and Technical College,Alabama,Huntsville,Public,0,Non-sectarian,Associates College,,,"1,062",1784,,SACS
Lawson State Community College,Alabama,Birmingham,Public,0,Non-sectarian,Associates College,,,"3,375",1785,,SACS
Wallace Community College,Alabama,Dothan,Public,0,Secular,Associates College,,,"4,478",1787,,SACS
Bishop State Community College[c],Alabama,Mobile,Public,0,Non-sectarian,Associates College,,,"2,846",1787,,SACS
Yale University,Connecticut,New Haven,Private,1,0,Doctoral University,,,"12,458",1787,,
University of Pennsylvania,Pennsylvania,Philadelphia,Private,1,0,Baccalaureate College,,,"25,007",1789,,
Virginia College,Alabama,Birmingham,Private,1,Non-sectarian,Baccalaureate College,,,,1789,2018,
Faulkner University,Alabama,Montgomery,Private,0,Churches of Christ,Baccalaureate College,,,"3,036",1791,,SACS
Southern Benedictine College,Alabama,Cullman,Private,1,Catholic,Baccalaureate College,,,,1791,1979,
Moravian College,Pennsylvania,Bethlehem(Northampton County),Private,1,Moravian Church in America,x,,,"2,032",1793,,
Princeton University,New Jersey,Princeton,Private,1,0,Doctoral University,,,"8,010",1794,,MSCHE
Washington and Lee University,Virginia,Lexington,Private,0,0,Baccalaureate College,,,"2,223",1794,,SACS
Columbia University in the City of New York,New York,New York,Private,1,0,Doctoral University,,,"29,732",1794,,
Brown University,Rhodes Island,Providence,Private,1,0,Doctoral University,,,10333,1794,,
Rutgers University,New Jersey,"New Brunswick, Piscataway, Camden, and Newark",Public,0,0,Doctoral University,,,"65,000",1795,,MSCHE
Dartmouth College,New Hampshire,Hanover,Private,1,0,Doctoral University,,,"6,350",1797,,
College of Charleston,South Carolina,Charleston,Public,1,0,Masters University,,,10783,1798,,SACS
Salem College,North Carolina,Winston-Salem,Private,0,0,Baccalaureate College,,,841,1800,,
Litchfield Law School,Connecticut,Litchfield,Private,1,0,Specialized Focus: Law,,,,1801,1883,
Dickinson College,Pennsylvania,Carlisle (Cumberland County),Private,1,Secular,x,,,"2,414",1801,,
University of Alabama in Huntsville,Alabama,Huntsville,Public,0,Non-sectarian,Doctoral University,,,"9,988",1802,,SACS
University of Alabama at Birmingham,Alabama,Birmingham,Public,1,Christian,Doctoral University,,,"22,080",1803,,SACS
University of South Alabama,Alabama,Mobile,Public,0,Non-sectarian,Doctoral University,,,"14,397",1804,,SACS
Hampden-Sydney College,Virginia,Hampden Sydney,Private,1,0,Baccalaureate College,,,"1,072",1805,,SACS
Transylvania University,Kentucky,,Private,1,Christian,Baccalaureate College,,,,1806,,
Columbia Southern University,Alabama,Orange Beach,Private,1,Non-sectarian,Masters University,,,"20,034",1807,,DEAC
Auburn University at Montgomery,Alabama,Montgomery,Public,0,Methodist,Masters University,,,"5,188",1807,,SACS
University of Mobile,Alabama,Prichard,Private,1,Southern Baptist Convention,Masters University,,,"1,989",1808,,SACS
Air University,Alabama,Montgomery,Public,0,Pre-Christian,Masters University,,,,1809,,SACS
Washington & Jefferson College,Pennsylvania,Washington(Washington County),Private,1,Non-sectarian,x,,,"1,460",1810,,
Washington College,Maryland,Chestertown,Private,0,Secularism,,,,"1,480",1812,,
St. John's College,Maryland,Annapolis,Private,0,Non-sectarian,Baccalaureate College,,,513,1812,,
Cokesbury College,Maryland,Abingdon,x,x,Methodist,,,,,1813,1796,
New Brunswick Theological Seminary,New Jersey,New Brunswick,Private,1,Reformed Church in America,Seminary,,,,1814,,"ATS, MSCHE"
University of Georgia,Georgia,Athens,Public,0,0,Doctoral University,,,"30,000",1814,,
Franklin & Marshall College,Pennsylvania,Lancaster (Lancaster County),Private,1,Secular,x,,,"2,335",1814,,
York College of Pennsylvania,Pennsylvania,Spring Garden (York County),Private,1,Jewish,x,,,"5,506",1815,,
Castleton University,Vermont,Castleton,Public,0,0,Baccalaureate College,,,,1815,,
Huntsville Bible College,Alabama,Huntsville,Private,1,Christian,Seminary,,,145,1816,,ABHE
Heritage Christian University,Alabama,Florence,Private,1,Churches of Christ,Seminary,,,86,1816,,ABHE
Amridge University,Alabama,Montgomery,Private,1,Churches of Christ,Seminary,,,833,1817,,SACS
Southeastern Bible College,Alabama,Birmingham,Private,1,Christian,Seminary,,,,1817,2017,
University of North Carolina at Chapel Hill,North Carolina,Chapel Hill,Public,0,0,Doctoral University,,,"29,282",1818,,
Alabama College of Osteopathic Medicine,Alabama,Dothan,Private,1,Non-sectarian,Special Focus: Medical,,,660,1818,,AOA's COCA
Miles Law School,Alabama,Fairfield,Private,1,Non-sectarian,Specialized Focus: Law,,,,1818,,Alabama Bar Association
Georgetown University,Virginia,Arlington,Private,1,0,Doctoral University,,,"19,204",1819,,MSCHE
United States Sports Academy,Alabama,Daphne,Private,1,Non-sectarian,Specialized Focus: Sports,,,499,1819,,SACS
University of Alaska Anchorage,Alaska,Anchorage,Public,0,0,Doctoral University,,,"14,004",1819,,
St. Mary's Seminary and University,Maryland,Baltimore,Private,0,Christian,Seminary,,,294,1819,,
University of Alaska Southeast,Alaska,Juneau,Public,0,Non-sectarian,Masters University,,,"3,458",1819,,
Alaska Pacific University,Alaska,Anchorage,Private,0,Methodist,Masters University,,,502,1819,,
University of Vermont,Vermont,Burlington,Public,0,0,Doctoral University,,,,1820,,
Saint Herman Theological Seminary,Alaska,Kodiak,Private,1,Christian,Seminary,,,,1821,,
Alaska Bible College,Alaska,Glennallen,Private,1,Christian,Seminary,,,81,1821,,
College of Applied Science & Technology,Arizona,Sierra Vista,Public,0,Non-sectarian,Baccalaureate College,,,,1821,,
Dunlap-Stone University,Arizona,Phoenix,Private,1,Non-sectarian,Baccalaureate College,,,84,1822,,
Southwest University of Visual Arts,Arizona,Tucson,Private,1,Non-sectarian,Baccalaureate College,,,172,1823,,
Brookline College,Arizona,Phoenix,Private,1,Catholic,Baccalaureate College,,,373,1823,,
Carrington College,Arizona,Phoenix,Private,1,Non-sectarian,Baccalaureate College,,,617,1824,,
Universal Technical Institute,Arizona,Avondale,Private,1,Non-sectarian,Baccalaureate College,,,"2,340",1824,,
CollegeAmerica,Arizona,Phoenix,Private,0,Christian,Baccalaureate College,,,488,1824,,
Arizona Christian University,Arizona,Glendale,Private,1,Christian,Baccalaureate College,,,776,1824,,
Bryan University,Arizona,Tempe,Private,1,Christian,Baccalaureate College,,,648,1824,,
Hamilton College,New York,Clinton,Private,1,Christian,Baccalaureate College,,,"2,046",1825,,
Bowdoin College,Maine,Brunswick,Private,1,Catholic,Baccalaureate College,,,"1,952",1825,,
Pittsburgh Theological Seminary,Pennsylvania,Pittsburgh(Allegheny County),Private,1,Presbyterian Church of the USA,Seminary,,,305,1826,,
University of Tennessee (Flagship university),Tennessee,Knoxville (main campus),Public,0,0,Doctoral University,,,,1826,,
Tusculum University,Tennessee,Tusculum,Private,1,Presbyterian Church (USA),Masters University,,,,1826,,
Northcentral University,Arizona,Prescott,Private,1,Methodist,Doctoral University,,,969,1826,,
Southwest College of Naturopathic Medicine,Arizona,Tempe,Private,1,Secular,Doctoral University,,,360,1826,,
University of Phoenix,Arizona,Phoenix,Private,1,Non-sectarian,Doctoral University,1,,"94,472",1826,,
Anthem Education Group,Arizona,Glendale,Private,1,Non-sectarian,Doctoral University,,,,1826,x,
Grand Canyon University,Arizona,Phoenix,Private,1,0,Doctoral University,,,"7,500",1826,,
Wilkes University,Arizona,Mesa,Private,1,0,Doctoral University,,,"5,132",1827,,
Union College,New York,Schenectady,Private,1,Tennessee Baptist Convention,Baccalaureate College,,,"2,280",1827,,
Hartwick College,New York,Oneonta,Private,1,Non-sectarian,,,,"1,595",1827,,
University of Louisville,Kentucky,,Public,1,Catholic Camous Ministry,Baccalaureate College,,,,1828,,
Middlebury College,Vermont,Middlebury,Private,1,0,Baccalaureate College,,,,1828,,
Vincennes University,Indiana,Vincennes,Public,0,Non-sectarian,Baccalaureate College,,,"17,530",1828,,"HLC, ABFSE, APTA, NASAD, NAST, TCATE, NLNAC"
University of Advancing Technology,Arizona,Tempe,Private,1,Non-sectarian,Masters University,,,758,1828,,
Embry-Riddle Aeronautical University,Arizona,Prescott,Private,1,Christian,Masters University,,,"27,136",1829,,
The Art Institute of Phoenix,Arizona,Phoenix,Private,1,Non-sectarian,Masters University,,,,1829,x,
Prescott College,Arizona,Prescott,Private,0,Non-sectarian,Masters University,,,827,1829,,
DeVry University,Arizona,Phoenix,Private,1,Secular,Masters University,,,488,1830,,
University of South Carolina Columbia  (Main campus),South Carolina,Columbia,Public,0,0,Doctoral University,,,34795,1830,,SACS
United States Military Academy,New York,West Point,Private,1,0,Baccalaureate College,,,"4,498",1830,,
Phoenix Seminary,Arizona,Phoenix,Private,1,Evangelical ,Seminary,,,217,1830,,
Fuller Theological Seminary,Arizona,Pasadena,Private,1,Evangelical ,Seminary,,,"2,672",1830,,
Cummings Graduate Institute for Behavioral Health Studies,Arizona,Phoenix,Private,1,Non-sectarian,Special Focus: Medical,,,,1830,,
The School of Architecture at Taliesin,Arizona,Scottsdale,Private,0,Non-sectarian,Specialized Focus: Architecture,,,19,1830,,
Sessions College for Professional Design,Arizona,Tempe,Private,1,Non-sectarian,Specialized Focus: Art,,,160,1831,,
The Art Institute of Tucson,Arizona,Tucson,Private,1,Non-sectarian,Specialized Focus: Art,,,,1831,x,
Automotive Dealership Institute,Arizona,Scottsdale,Private,1,Non-sectarian,Specialized Focus: Automotive,,,,1831,,
Le Cordon Bleu College of Culinary Arts Scottsdale,Arizona,Scottsdale,Private,1,Non-sectarian,Specialized Focus: Culinary,,,,1831,x,
Arizona Summit Law School,Arizona,Phoenix,Private,1,Methodist,Specialized Focus: Law,,,,1831,x,
National Park College,Arkansas,Hot Springs,Public,0,Non-sectarian,Associates College,,,"3,246",1831,,
Arkansas State University–Mountain Home,Arkansas,Mountain Home,Public,0,Christian,Associates College,,,"1,238",1831,,
Arkansas State University Mid-South,Arkansas,West Memphis,Public,0,Non-sectarian,Associates College,,,"1,793",1832,,
South Arkansas Community College,Arkansas,El Dorado,Public,0,Non-sectarian,Associates College,,,"1,632",1832,,
Southeast Arkansas College,Arkansas,Pine Bluff,Public,0,Non-sectarian,Associates College,,,"1,601",1832,,
University of Arkansas Community College at Batesville,Arkansas,Batesville,Public,0,Non-sectarian,Associates College,,,"1,353",1832,,
Northwest Arkansas Community College,Arkansas,Bentonville,Public,0,Non-sectarian,Associates College,,,"8,020",1833,,
Black River Technical College,Arkansas,Pocahontas,Public,0,Non-sectarian,Associates College,,,"2,248",1833,,
Arkansas State University-Newport,Arkansas,Newport,Public,0,Non-sectarian,Associates College,,,"2,057",1833,,
Arkansas Northeastern College,Arkansas,Blytheville,Public,0,Non-sectarian,Associates College,,,"1,425",1833,,
Cossatot Community College,Arkansas,De Queen,Public,0,Non-sectarian,Associates College,,,"1,597",1833,,
Ozarka College,Arkansas,Melbourne,Public,0,Non-sectarian,Associates College,,,"1,489",1833,,
East Arkansas Community College,Arkansas,Forrest City,Public,0,Non-sectarian,Associates College,,,"1,386",1834,,
North Arkansas College,Arkansas,Harrison,Public,0,Non-sectarian,Associates College,,,"2,167",1834,,
University of Arkansas Rich Mountain,Arkansas,Mena,Public,0,Secular,Associates College,,,957,1834,,
College of the Ouachitas,Arkansas,Malvern,Public,0,Christian,Associates College,,,"1,501",1834,,
Southern Arkansas University Tech,Arkansas,Camden,Public,0,Secular,Associates College,,,"1,730",1834,,
Phillips Community College of the University of Arkansas,Arkansas,Helena-West Helena,Public,0,Secular,Associates College,,,"2,029",1834,,
University of Arkansas Community College at Hope,Arkansas,Hope,Public,0,Non-sectarian,Associates College,,,"1,460",1834,,
University of Arkansas Community College at Morrilton,Arkansas,Morrilton,Public,0,Non-sectarian,Associates College,,,"2,149",1835,,
University of Arkansas – Pulaski Technical College,Arkansas,North Little Rock,Public,0,Non-sectarian,Associates College,,,"10,527",1835,,
Arkansas State University-Beebe,Arkansas,Beebe,Public,0,Non-sectarian,Associates College,,,"4,380",1835,,
Baltimore College,Maryland,Baltimore,x,x,Catholic,,,,,1835,1830,
Blue Cliff College,Arkansas,Fayetteville,Private,1,Non-sectarian,Associates College,,,,1836,,
Southeast College of Technology (now Remington College),Arkansas,x,x,x,Secular,Associates College,,,,1836,x,
Crowley's Ridge College,Arkansas,Paragould,Private,1,Church of Christ ,Baccalaureate College,,,200,1836,,
Williams Baptist University,Arkansas,Walnut Ridge,Private,1,Chistian denomination ,Baccalaureate College,,,574,1837,,
University of Arkansas–Fort Smith,Arkansas,Fort Smith,Public,0,Non-sectarian,Baccalaureate College,,,"7,170",1837,,
Ohio University[17],Ohio,Athens,Public,0,0,Doctoral University,,,,1837,,
Pennsylvania Academy of Fine Arts,Pennsylvania,Philadelphia,Private,0,0,Specialized Focus: Art,,,353,1837,,
St. Mary's College,Maryland,Baltimore,x,x,Catholic,,,,,1837,1852,
"University of Maryland, Baltimore",Maryland,Baltimore,Public,1,Non-sectarian,,,,"6,827",1837,,USM
University of Maryland Global Campus formerly UMUC,Virginia,Fort Belvoir,Public,0,0,Doctoral University,1,,,1837,,MSCHE
Mount St. Mary's University,Maryland,Emmitsburg,Private,0,Catholic,,,,"2,131",1837,,
Miami University[14],Ohio,Oxford,Public,0,0,Doctoral University,,,,1837,,
Reformed Presbyterian Theological Seminary,Pennsylvania,Pittsburgh(Allegheny County),Private,1,Reformed Presbyterian Church of North America,Seminary,,,100,1837,,
Princeton Theological Seminary,New Jersey,Princeton,Private,1,Presbyterian Church (U.S.A.),Seminary,,,,1837,,"ATS, MSCHE"
University of Arkansas System,Arkansas,Online Campus,Public,0,Non-sectarian,Baccalaureate College,,,2014,1838,,
Lycoming College,Pennsylvania,Williamsport (Lycoming County),Private,1,United Methodist Church,x,,,"1,485",1838,,
Little Rock College,Arkansas,x,x,x,Catholic,Baccalaureate College,,1,,1838,1969,
University of Arkansas at Little Rock,Arkansas,Little Rock,Public,0,0,Doctoral University,,,"12,377",1838,,
Colby College,Maine,Waterville,Private,1,Catholic,Baccalaureate College,,,"2,055",1839,,
Harding University,Arkansas,Searcy,Private,0,Churches of Christ,Masters University,,,"6,238",1839,,
Spalding University,Kentucky,,Private,1,Catholic,Baccalaureate College,,,,1839,,
Bangor Theological Seminary,Maine,Bangor,x,x,0,Seminary,,,,1839,2013,
Louisburg College,North Carolina,Louisburg,Private,1,0,Baccalaureate College,,,594,1839,,
Mirrer Yeshiva Cent Institute,New York,Brooklyn,Private,1,Jewish,,,,204,1839,,
Allegheny College,Pennsylvania,Meadville (Crawford County),Private,0,United Methodist Church,x,,,"1,786",1839,,
Asbury College,Maryland,Baltimore,x,x,Christian,,,,,1840,1830,
Ecclesia College,Arkansas,Springdale,Private,1,Christian,Seminary,,,178,1840,,
SUNY College at Potsdam,New York,Potsdam,Public,0,Secularism,,,,"4,384",1840,,
Coleman University,California,San Diego,Private,1,Non-sectarian,Baccalaureate College,,,,1840,2018,
Oak Valley College,California,San Dimas,Private,1,Christian,Baccalaureate College,,,,1840,,
University of the People,California,Pasadena,Private,1,Non-sectarian,Baccalaureate College,,,,1841,,
Zaytuna College,California,Berkeley,Private,1,Islam,Baccalaureate College,,,,1841,,
California Miramar University,California,San Diego,Private,1,Non-sectarian,Baccalaureate College,1,,,1841,,
Oikos University,California,Oakland,Private,1,Christian,Baccalaureate College,,,,1841,,0
American Heritage University of Southern California,California,Ontario,Private,1,Non-sectarian,Baccalaureate College,,,,1842,,
John Paul the Great Catholic University,California,Escondido,Private,1,Roman Catholic,Baccalaureate College,,,,1842,,
California State University Channel Islands,California,Camarillo,Public,0,Catholic,Baccalaureate College,,,"7,095",1842,,
Providence Christian College,California,Pasadena,Private,1,Christian (non-denominational),Baccalaureate College,,,,1842,,
Soka University of America,California,Aliso Viejo,Private,1,Non-sectarian,Baccalaureate College,,,,1842,,
University of Antelope Valley,California,Lancaster,Private,1,Non-sectarian,Baccalaureate College,,,,1842,,
University of Northern California,California,Petaluma,Private,0,Non-sectarian,Baccalaureate College,,,,1842,x,
"California State University, Monterey Bay",California,Seaside-Marina,Public,0,Non-sectarian,Baccalaureate College,,,"7,079",1842,,
Westcliff University,California,Irvine,Private,1,Non-sectarian,Baccalaureate College,,,,1842,,
University of the West,California,Rosemead,Private,1,Buddhism,Baccalaureate College,,,,1842,,
California State University San Marcos,California,San Marcos,Public,0,Non-sectarian,Baccalaureate College,,,"14,511",1842,,
California Southern University,California,Costa Mesa,Private,1,Non-sectarian,Baccalaureate College,,,,1842,,
Thomas Aquinas College,California,Santa Paula,Private,1,Roman Catholic,Baccalaureate College,,,,1843,,
San Diego Christian College,California,Santee,Private,1,Christian,Baccalaureate College,,,,1843,,
"California State University, Bakersfield",California,Bakersfield,Public,0,Non-sectarian,Baccalaureate College,,,"10,493",1843,,
"California State University, San Bernardino",California,San Bernardino,Public,0,Non-sectarian,Baccalaureate College,,,"19,973",1844,,
Hult International Business School,California,San Francisco,Private,1,Non-sectarian,Baccalaureate College,,,,1844,,
Pitzer College,California,Claremont,Private,1,Claremont Colleges,Baccalaureate College,,,,1844,,
"California State University, Dominguez Hills",California,Carson,Public,0,Non-sectarian,Baccalaureate College,,,"15,741",1844,,
Sonoma State University,California,Rohnert Park,Public,0,Christian,Baccalaureate College,,,"9,201",1844,,
"California State University, Northridge",California,Northridge,Public,0,Christian,Baccalaureate College,,,"38,716",1844,,
Pacific Oaks College,California,Pasadena,Private,1,Quaker,Baccalaureate College,,,,1844,,
"California State University, East Bay",California,Hayward,Public,0,Christian,Baccalaureate College,,,"14,525",1844,,
"California State University, Fullerton",California,Fullerton,Public,0,Christian,Baccalaureate College,,,"39,774",1845,,
"California State University, Stanislaus",California,Turlock,Public,0,Christian,Baccalaureate College,,,"10,214",1845,,
Harvey Mudd College,California,Claremont,Private,1,Claremont Colleges,Baccalaureate College,,,,1845,,
Middlebury Institute of International Studies at Monterey,California,Monterey,Private,1,Middlebury College,Baccalaureate College,,,,1845,,
"University of California, Riverside",California,Riverside,Public,0,Southern Baptist Convention,Baccalaureate College,,,"23,278",1845,,
"California State University, Long Beach",California,Long Beach,Public,0,Non-sectarian,Baccalaureate College,,,"36,846",1845,,
"California State University, Los Angeles",California,Los Angeles,Public,0,Non-sectarian,Baccalaureate College,,,"27,685",1846,,
"California State University, Sacramento",California,Sacramento,Public,0,Non-sectarian,Baccalaureate College,,,"31,131",1846,,
American Jewish University,California,Los Angeles,Private,1,Judaism,Baccalaureate College,,,,1846,,
Claremont McKenna College,California,Claremont,Private,1,Claremont Colleges,Baccalaureate College,,,,1846,,
Patten University,California,Oakland,Private,1,Christian Evangelical Church,Baccalaureate College,,,,1846,,
William Jessup University,California,Rocklin,Private,1,Evangelical Christian,Baccalaureate College,,,,1846,,
